Customer_ID,Recency,Frequency,Monetary,First_purchase,Last_purchase,Total_items,Tenure,AOV,Cancelled_orders,Return_Rate,R_Score,F_Score,M_Score,Segment,Lifespan_years,CLV
12366,634,1,500.24,16-03-2010 10:28,16-03-2010 10:28,296,634,500.24,0,0,1,1,2,lost,1.736986301,868.9100274
12367,4,1,168.9,05-12-2011 16:48,05-12-2011 16:48,173,4,168.9,0,0,5,1,1,New_customers,0.010958904,1.850958904
12368,628,1,917.7,21-03-2010 15:56,21-03-2010 15:56,330,628,917.7,0,0,1,1,3,Needs_Attention,1.720547945,1578.946849
12369,413,3,1791.15,08-03-2010 08:09,22-10-2010 13:13,1241,642,597.05,0,0,1,3,4,At_Risk,1.75890411,3150.461096
12370,51,7,4320.31,09-02-2010 09:41,19-10-2011 14:51,2605,669,617.1871429,0,0,4,4,5,Champions,1.832876712,7918.595589
12371,45,5,4067.38,04-03-2010 18:23,26-10-2011 10:16,1436,645,813.476,0,0,4,4,5,Champions,1.767123288,7187.561918
12372,72,3,1298.04,16-02-2011 12:46,29-09-2011 12:12,794,297,432.68,0,0,3,3,4,Loyal_customers,0.81369863,1056.21337
12373,311,3,1127.65,04-02-2010 12:08,01-02-2011 13:10,516,674,375.8833333,0,0,2,3,3,At_Risk,1.846575342,2082.290685
12374,25,4,2989.22,30-04-2010 14:01,14-11-2011 15:37,1362,588,747.305,0,0,4,3,5,Loyal_customers,1.610958904,4815.510575
12375,11,2,457.5,02-09-2011 14:23,29-11-2011 10:36,178,98,228.75,1,0.333333333,5,2,2,New_customers,0.268493151,122.8356164
12376,390,2,503.15,18-10-2010 08:42,15-11-2010 12:15,240,418,251.575,0,0,2,2,2,lost,1.145205479,576.210137
12377,315,4,3426.32,29-04-2010 15:34,28-01-2011 15:45,2105,589,856.58,0,0,2,3,5,At_Risk,1.61369863,5529.04789
12378,130,2,5416.32,26-05-2010 14:07,02-08-2011 10:34,3316,562,2708.16,0,0,3,2,5,Needs_Attention,1.539726027,8339.648877
12379,82,4,1620.22,23-06-2010 12:49,19-09-2011 10:09,815,535,405.055,1,0.2,3,3,4,Loyal_customers,1.465753425,2374.843014
12380,22,11,9676.3,15-02-2010 12:05,18-11-2011 11:27,3355,663,879.6636364,4,0.266666667,4,5,5,Champions,1.816438356,17576.40247
12381,5,5,1845.31,12-08-2011 09:57,05-12-2011 12:44,808,120,369.062,1,0.166666667,5,4,4,Champions,0.328767123,606.6772603
12383,185,5,1850.56,22-12-2010 14:28,08-06-2011 08:02,1532,352,370.112,1,0.166666667,3,4,4,Loyal_customers,0.964383562,1784.649644
12384,29,2,585.27,10-08-2011 11:23,11-11-2011 08:39,126,122,292.635,1,0.333333333,4,2,2,New_customers,0.334246575,195.6244932
12385,379,1,1938.4,25-11-2010 15:14,25-11-2010 15:14,612,379,1938.4,1,0.5,2,1,4,Needs_Attention,1.038356164,2012.749589
12386,338,2,660.8,08-12-2010 09:53,06-01-2011 12:37,568,367,330.4,0,0,2,2,3,Needs_Attention,1.005479452,664.4208219
12387,415,1,143.94,20-10-2010 16:27,20-10-2010 16:27,134,415,143.94,0,0,1,1,1,lost,1.136986301,163.6578082
12388,16,8,3901.11,06-05-2010 12:54,24-11-2011 12:30,2001,582,487.63875,0,0,5,4,5,Champions,1.594520548,6220.400055
12389,403,3,1433.33,22-02-2010 10:15,02-11-2010 11:52,614,656,477.7766667,0,0,2,3,4,At_Risk,1.797260274,2576.067068
12390,80,1,549.84,21-09-2011 09:33,21-09-2011 09:33,353,80,549.84,0,0,3,1,2,Needs_Attention,0.219178082,120.5128767
12391,22,6,2773.42,15-02-2010 10:12,18-11-2011 12:07,1220,663,462.2366667,1,0.142857143,4,4,4,Champions,1.816438356,5037.746466
12392,591,1,234.75,27-04-2010 14:04,27-04-2010 14:04,73,591,234.75,0,0,1,1,1,lost,1.619178082,380.1020548
12393,72,6,2399.45,07-10-2010 13:49,28-09-2011 15:41,1311,428,399.9083333,1,0.142857143,3,4,4,Loyal_customers,1.17260274,2813.601644
12394,64,2,1272.48,06-05-2011 14:01,07-10-2011 08:08,819,217,636.24,0,0,3,2,4,Needs_Attention,0.594520548,756.5155068
12395,19,15,5067.27,16-04-2010 10:16,20-11-2011 15:21,3733,603,337.818,3,0.166666667,5,5,5,Champions,1.652054795,8371.407699
12396,674,1,931.43,03-02-2010 13:22,03-02-2010 13:22,591,674,931.43,0,0,1,1,3,Needs_Attention,1.846575342,1719.955671
12397,36,2,2409.9,27-07-2011 14:21,04-11-2011 09:52,1263,135,1204.95,0,0,4,2,4,New_customers,0.369863014,891.3328767
12398,46,1,1635.66,25-10-2011 10:27,25-10-2011 10:27,1394,46,1635.66,0,0,4,1,4,New_customers,0.126027397,206.1379726
12399,119,7,1962.3,05-03-2010 08:45,12-08-2011 13:15,2198,645,280.3285714,0,0,3,4,4,Loyal_customers,1.767123288,3467.626027
12400,414,1,205.25,21-10-2010 13:45,21-10-2010 13:45,91,414,205.25,0,0,1,1,1,lost,1.134246575,232.8041096
12401,303,1,84.3,09-02-2011 13:50,09-02-2011 13:50,11,303,84.3,0,0,2,1,1,lost,0.830136986,69.98054795
12402,323,6,1256.9,07-02-2010 12:41,20-01-2011 13:49,584,671,209.4833333,1,0.142857143,2,4,4,At_Risk,1.838356164,2310.629863
12403,50,2,1019.36,06-07-2010 11:39,21-10-2011 10:51,260,522,509.68,1,0.333333333,4,2,3,New_customers,1.430136986,1457.824438
12404,682,1,63.24,26-01-2010 16:25,26-01-2010 16:25,1,682,63.24,0,0,1,1,1,lost,1.868493151,118.1635068
12405,149,1,1710.39,14-07-2011 08:52,14-07-2011 08:52,857,149,1710.39,0,0,3,1,4,Needs_Attention,0.408219178,698.214
12406,22,5,6390.36,11-01-2010 14:04,17-11-2011 19:22,3416,697,1278.072,2,0.285714286,4,4,5,Champions,1.909589041,12202.96142
12407,50,5,1708.12,20-03-2011 13:21,21-10-2011 10:11,1416,264,341.624,0,0,4,4,4,Champions,0.723287671,1235.462137
12408,33,8,4340.77,29-07-2010 13:27,07-11-2011 12:27,2229,498,542.59625,6,0.428571429,4,4,5,Champions,1.364383562,5922.475233
12409,79,7,23419.29,23-05-2010 15:21,22-09-2011 10:38,13143,565,3345.612857,6,0.461538462,3,4,5,Loyal_customers,1.547945205,36251.77767
12410,309,3,1013.71,25-07-2010 13:26,04-02-2011 10:39,341,502,337.9033333,1,0.25,2,3,3,At_Risk,1.375342466,1394.198411
12411,410,1,346.9,26-10-2010 09:25,26-10-2010 09:25,138,410,346.9,0,0,2,1,2,lost,1.123287671,389.6684932
12412,75,6,2596.93,18-06-2010 13:22,26-09-2011 10:16,1997,539,432.8216667,2,0.25,3,4,4,Loyal_customers,1.476712329,3834.918548
12413,67,4,999.45,02-11-2010 13:26,04-10-2011 09:00,319,402,249.8625,2,0.333333333,3,3,3,Loyal_customers,1.101369863,1100.76411
12414,217,6,952.41,02-09-2010 12:22,06-05-2011 14:51,495,464,158.735,2,0.25,2,4,3,At_Risk,1.271232877,1210.734904
12415,24,28,144458.37,30-06-2010 08:30,15-11-2011 14:22,91447,528,5159.2275,5,0.151515152,4,5,5,Champions,1.446575342,208969.9161
12416,657,1,202.56,21-02-2010 10:19,21-02-2010 10:19,132,657,202.56,0,0,1,1,1,lost,1.8,364.608
12417,3,20,6816.91,06-12-2009 10:30,06-12-2011 14:52,2890,734,340.8455,7,0.259259259,5,5,5,Champions,2.010958904,13708.52586
12418,113,4,2021.2,19-03-2010 14:47,19-08-2011 11:08,1088,630,505.3,1,0.2,3,3,4,Loyal_customers,1.726027397,3488.646575
12419,386,2,503.01,22-10-2010 10:40,19-11-2010 10:04,231,414,251.505,0,0,2,2,2,lost,1.134246575,570.5373699
12420,64,1,600.39,07-10-2011 08:55,07-10-2011 08:55,345,64,600.39,0,0,3,1,2,Needs_Attention,0.175342466,105.273863
12421,16,6,1098.6,22-07-2010 13:57,24-11-2011 09:07,652,505,183.1,2,0.25,5,4,3,Loyal_customers,1.383561644,1519.980822
12422,96,17,5231.8,18-12-2009 12:44,05-09-2011 09:48,2596,722,307.7529412,4,0.19047619,3,5,5,Loyal_customers,1.978082192,10348.93041
12423,1,10,2622.39,31-08-2010 09:31,09-12-2011 10:10,1793,466,262.239,1,0.090909091,5,5,4,Champions,1.276712329,3348.037644
12424,163,4,3340.03,09-06-2010 15:15,30-06-2011 12:06,2025,548,835.0075,3,0.428571429,3,3,5,Loyal_customers,1.501369863,5014.620384
12425,78,2,1741.41,17-09-2010 14:10,22-09-2011 17:31,1147,448,870.705,1,0.333333333,3,2,4,Needs_Attention,1.22739726,2137.401863
12426,195,2,1345.21,15-02-2010 08:41,29-05-2011 12:26,584,663,672.605,1,0.333333333,2,2,4,Needs_Attention,1.816438356,2443.491041
12427,22,3,1129.3,03-12-2010 10:44,18-11-2011 08:56,612,372,376.4333333,2,0.4,4,3,3,Loyal_customers,1.019178082,1150.957808
12428,26,9,7956.46,01-03-2011 09:33,14-11-2011 08:22,3536,284,884.0511111,3,0.25,4,5,5,Champions,0.778082192,6190.779836
12429,9,8,7485.91,11-06-2010 13:28,30-11-2011 17:22,3344,546,935.73875,1,0.111111111,5,4,5,Champions,1.495890411,11198.10099
12430,43,1,256.4,27-10-2011 15:09,27-10-2011 15:09,117,43,256.4,0,0,4,1,1,New_customers,0.117808219,30.2060274
12431,36,27,10857.97,15-01-2010 09:04,04-11-2011 11:55,4717,694,402.147037,6,0.181818182,4,5,5,Champions,1.901369863,20645.01693
12432,43,5,5059.32,20-06-2011 13:27,28-10-2011 11:43,1801,172,1011.864,0,0,4,4,5,Champions,0.471232877,2384.117918
12433,1,10,20581.26,20-08-2010 09:23,09-12-2011 10:02,17116,477,2058.126,1,0.090909091,5,5,5,Champions,1.306849315,26896.60553
12434,85,3,1103.43,23-11-2010 13:38,16-09-2011 12:38,532,381,367.81,2,0.4,3,3,3,Loyal_customers,1.043835616,1151.799534
12435,80,6,13925.93,02-12-2009 13:58,21-09-2011 09:06,4958,737,2320.988333,0,0,3,4,5,Loyal_customers,2.019178082,28118.93263
12436,100,1,509.01,01-09-2011 12:09,01-09-2011 12:09,211,100,509.01,0,0,3,1,2,Needs_Attention,0.273972603,139.4547945
12437,2,39,12683.4,02-12-2009 16:24,08-12-2011 11:35,8000,737,325.2153846,8,0.170212766,5,5,5,Champions,2.019178082,25610.04329
12438,14,2,2906.85,22-07-2011 13:29,25-11-2011 13:28,1180,140,1453.425,0,0,5,2,4,New_customers,0.383561644,1114.956164
12439,683,2,1158.18,14-12-2009 08:40,26-01-2010 12:11,484,726,579.09,1,0.333333333,1,2,3,Needs_Attention,1.989041096,2303.667616
12440,462,2,859.2,22-12-2009 12:03,03-09-2010 13:11,331,718,429.6,1,0.333333333,1,2,3,Needs_Attention,1.967123288,1690.152329
12441,367,1,347.1,08-12-2010 10:45,08-12-2010 10:45,242,367,347.1,0,0,2,1,2,lost,1.005479452,349.0019178
12442,3,1,172.06,06-12-2011 14:22,06-12-2011 14:22,182,3,172.06,0,0,5,1,1,New_customers,0.008219178,1.414191781
12443,732,1,485.31,07-12-2009 15:42,07-12-2009 15:42,182,732,485.31,0,0,1,1,2,lost,2.005479452,973.2792329
12444,21,5,5005.46,21-06-2011 14:00,18-11-2011 13:23,1153,171,1001.092,0,0,4,4,5,Champions,0.468493151,2345.023726
12445,22,2,434.98,15-10-2010 12:28,17-11-2011 18:43,206,421,217.49,1,0.333333333,4,2,2,New_customers,1.153424658,501.7166575
12446,58,1,1002.31,13-10-2011 12:50,13-10-2011 12:50,351,58,1002.31,0,0,4,1,3,New_customers,0.15890411,159.2711781
12447,243,1,476.49,10-04-2011 13:25,10-04-2011 13:25,190,243,476.49,0,0,2,1,2,lost,0.665753425,317.2248493
12448,44,1,449.45,26-10-2011 13:46,26-10-2011 13:46,243,44,449.45,0,0,4,1,2,New_customers,0.120547945,54.18027397
12449,22,6,4835.89,27-09-2010 09:37,17-11-2011 13:46,2282,439,805.9816667,0,0,4,4,5,Champions,1.202739726,5816.317014
12450,156,5,688.2,22-08-2010 13:11,06-07-2011 14:41,442,474,137.64,2,0.285714286,3,4,3,Loyal_customers,1.298630137,893.7172603
12451,11,8,12669.88,28-06-2010 12:58,29-11-2011 08:40,9359,529,1583.735,2,0.2,5,4,5,Champions,1.449315068,18362.648
12452,17,2,430.57,23-11-2011 08:05,23-11-2011 10:28,185,17,215.285,1,0.333333333,5,2,2,New_customers,0.046575342,20.05394521
12453,134,1,707.09,28-07-2011 14:08,28-07-2011 14:08,473,134,707.09,0,0,3,1,3,Needs_Attention,0.367123288,259.5892055
12454,56,5,16679.78,14-10-2010 17:33,14-10-2011 17:13,7703,421,3335.956,4,0.444444444,4,4,5,Champions,1.153424658,19238.86953
12455,73,10,5879.95,18-12-2009 12:33,27-09-2011 15:31,3302,722,587.995,0,0,3,5,5,Loyal_customers,1.978082192,11631.02438
12456,44,3,3181.04,30-03-2011 09:12,26-10-2011 14:41,1633,255,1060.346667,1,0.25,4,3,5,Loyal_customers,0.698630137,2222.370411
12457,66,8,2995.91,30-09-2010 17:59,04-10-2011 13:13,1094,435,374.48875,6,0.428571429,3,4,5,Loyal_customers,1.191780822,3570.468082
12458,71,4,1777.49,09-08-2010 10:33,29-09-2011 15:25,986,488,444.3725,0,0,3,3,4,Loyal_customers,1.336986301,2376.479781
12459,605,1,454.36,13-04-2010 14:53,13-04-2010 14:53,258,605,454.36,0,0,1,1,2,lost,1.657534247,753.1172603
12460,456,1,326.65,09-09-2010 13:51,09-09-2010 13:51,170,456,326.65,0,0,1,1,2,lost,1.249315068,408.0887671
12461,94,2,826.88,08-07-2011 10:23,06-09-2011 16:57,287,155,413.44,0,0,3,2,3,Needs_Attention,0.424657534,351.1408219
12462,19,2,1189.59,09-02-2011 14:44,21-11-2011 09:11,536,303,594.795,2,0.5,5,2,3,New_customers,0.830136986,987.5226575
12463,53,4,1344.78,12-04-2011 12:47,17-10-2011 13:44,776,242,336.195,3,0.428571429,4,3,4,Loyal_customers,0.663013699,891.6075616
12464,10,8,1212.05,03-02-2011 13:30,29-11-2011 13:33,112,309,151.50625,0,0,5,4,3,Loyal_customers,0.846575342,1026.091644
12465,17,2,742.19,23-06-2011 13:37,22-11-2011 16:34,479,169,371.095,1,0.333333333,5,2,3,New_customers,0.463013699,343.644137
12466,682,1,56.73,26-01-2010 16:26,26-01-2010 16:26,1,682,56.73,0,0,1,1,1,lost,1.868493151,105.9996164
12467,423,1,132.8,12-10-2010 15:41,12-10-2010 15:41,129,423,132.8,1,0.5,1,1,1,lost,1.15890411,153.9024658
12468,188,5,3670.74,26-01-2010 10:09,05-06-2011 11:36,2201,683,734.148,5,0.5,3,4,5,Loyal_customers,1.871232877,6868.80937
12469,523,2,3070.54,21-06-2010 10:30,05-07-2010 12:40,2552,537,1535.27,0,0,1,2,5,Needs_Attention,1.471232877,4517.479397
12470,690,1,211.95,19-01-2010 11:01,19-01-2010 11:01,95,690,211.95,0,0,1,1,1,lost,1.890410959,400.6726027
12471,2,79,39963.79,07-12-2009 10:41,07-12-2011 15:43,16882,733,505.8707595,50,0.387596899,5,5,5,Champions,2.008219178,80256.04951
12472,32,19,17880.59,14-12-2009 10:49,07-11-2011 14:01,11350,726,941.0836842,18,0.486486486,4,5,5,Champions,1.989041096,35565.22833
12473,29,5,3938.55,01-06-2011 10:15,10-11-2011 13:46,2439,192,787.71,4,0.444444444,4,4,5,Champions,0.526027397,2071.785205
12474,17,31,12424.45,11-02-2010 09:41,22-11-2011 14:39,7954,667,400.7887097,23,0.425925926,5,5,5,Champions,1.82739726,22704.40589
12475,54,2,1149.64,26-10-2010 08:49,17-10-2011 10:10,771,410,574.82,0,0,4,2,3,New_customers,1.123287671,1291.376438
12476,16,23,14115.41,26-07-2010 09:04,24-11-2011 12:40,5645,502,613.7134783,15,0.394736842,5,5,5,Champions,1.375342466,19413.52279
12477,23,9,20276.37,26-03-2010 14:01,17-11-2011 09:51,6119,623,2252.93,3,0.25,4,5,5,Champions,1.706849315,34608.70825
12478,4,1,680.99,06-12-2011 09:56,06-12-2011 09:56,236,4,680.99,0,0,5,1,3,New_customers,0.010958904,7.46290411
12479,11,1,527.2,28-11-2011 13:26,28-11-2011 13:26,385,11,527.2,2,0.666666667,5,1,2,New_customers,0.030136986,15.88821918
12480,28,7,5464.85,20-07-2010 13:21,11-11-2011 14:52,2952,507,780.6928571,1,0.125,4,4,5,Champions,1.389041096,7590.901233
12481,23,15,12361.39,11-04-2010 13:10,17-11-2011 08:29,7253,607,824.0926667,3,0.166666667,4,5,5,Champions,1.663013699,20557.1609
12482,576,29,23691.4,24-02-2010 10:24,12-05-2010 16:51,27042,654,816.9448276,3,0.09375,1,5,5,At_Risk,1.791780822,42449.79616
12483,17,19,5120.58,31-01-2010 13:28,22-11-2011 17:02,2172,677,269.5042105,8,0.296296296,5,5,5,Champions,1.854794521,9497.623726
12484,33,12,6370.15,27-01-2010 16:41,07-11-2011 11:37,3271,681,530.8458333,4,0.25,4,5,5,Champions,1.865753425,11885.12918
12485,529,1,708.1,28-06-2010 15:22,28-06-2010 15:22,414,529,708.1,0,0,1,1,3,Needs_Attention,1.449315068,1026.26
12486,432,1,1037.28,04-10-2010 12:14,04-10-2010 12:14,523,432,1037.28,0,0,1,1,3,Needs_Attention,1.183561644,1227.684822
12487,731,1,285.3,09-12-2009 11:36,09-12-2009 11:36,174,731,285.3,1,0.5,1,1,1,lost,2.002739726,571.3816438
12488,10,3,1298.66,25-09-2011 10:34,30-11-2011 08:50,529,76,432.8866667,0,0,5,3,4,Loyal_customers,0.208219178,270.4059178
12489,336,1,334.93,07-01-2011 13:13,07-01-2011 13:13,105,336,334.93,0,0,2,1,2,lost,0.920547945,308.3191233
12490,5,21,9823.64,01-12-2009 12:52,04-12-2011 16:07,5906,738,467.792381,1,0.045454545,5,5,5,Champions,2.021917808,19862.59266
12491,39,1,460.4,01-11-2011 12:18,01-11-2011 12:18,260,39,460.4,0,0,4,1,2,New_customers,0.106849315,49.19342466
12492,63,3,715.21,01-11-2010 14:58,07-10-2011 15:15,444,403,238.4033333,0,0,3,3,3,Loyal_customers,1.104109589,789.6702192
12493,166,2,433.74,26-05-2011 14:53,27-06-2011 10:17,207,197,216.87,1,0.333333333,3,2,2,Needs_Attention,0.539726027,234.1007671
12494,16,9,1872.87,12-05-2010 13:52,24-11-2011 09:34,988,576,208.0966667,8,0.470588235,5,5,4,Champions,1.578082192,2955.542795
12495,641,1,357.4,09-03-2010 10:53,09-03-2010 10:53,130,641,357.4,1,0.5,1,1,2,lost,1.756164384,627.6531507
12496,620,2,54.09,29-03-2010 13:57,29-03-2010 14:06,33,620,27.045,0,0,1,2,1,lost,1.698630137,91.87890411
12497,82,3,6248.5,05-03-2010 09:39,19-09-2011 12:29,5685,645,2082.833333,1,0.25,3,3,5,Loyal_customers,1.767123288,11041.86986
12498,21,3,403.7,13-10-2011 09:30,18-11-2011 12:53,159,58,134.5666667,0,0,4,3,2,Needs_Attention,0.15890411,64.14958904
12499,560,1,393.72,28-05-2010 15:12,28-05-2010 15:12,302,560,393.72,0,0,1,1,2,lost,1.534246575,604.0635616
12500,23,19,5955.21,04-02-2010 15:05,16-11-2011 16:20,3377,673,313.4321053,6,0.24,4,5,5,Champions,1.843835616,10980.4283
12501,337,1,2169.39,07-01-2011 12:28,07-01-2011 12:28,1783,337,2169.39,1,0.5,2,1,4,Needs_Attention,0.923287671,2002.971041
12502,96,5,3723.87,03-02-2011 10:41,05-09-2011 11:52,820,310,744.774,0,0,3,4,5,Loyal_customers,0.849315068,3162.738904
12503,584,1,1126,04-05-2010 13:59,04-05-2010 13:59,561,584,1126,1,0.5,1,1,3,Needs_Attention,1.6,1801.6
12504,18,4,779.05,22-04-2010 10:24,21-11-2011 16:02,458,597,194.7625,2,0.333333333,5,3,3,Loyal_customers,1.635616438,1274.226986
12505,409,1,955.2,27-10-2010 09:18,27-10-2010 09:18,324,409,955.2,2,0.666666667,2,1,3,Needs_Attention,1.120547945,1070.347397
12506,233,1,73.5,21-04-2011 08:54,21-04-2011 08:54,23,233,73.5,0,0,2,1,1,lost,0.638356164,46.91917808
12507,134,4,1844.06,04-05-2010 09:23,28-07-2011 17:09,1256,585,461.015,1,0.2,3,3,4,Loyal_customers,1.602739726,2955.548219
12508,26,2,398.27,10-11-2011 16:27,13-11-2011 15:37,272,29,199.135,0,0,4,2,2,New_customers,0.079452055,31.64336986
12509,284,1,176.5,28-02-2011 14:45,28-02-2011 14:45,55,284,176.5,0,0,2,1,1,lost,0.778082192,137.3315068
12510,143,9,5178.02,04-12-2009 13:47,20-07-2011 10:15,2049,735,575.3355556,7,0.4375,3,5,5,Loyal_customers,2.01369863,10426.97178
12511,429,1,3084.02,07-10-2010 10:39,07-10-2010 10:39,1753,429,3084.02,1,0.5,1,1,5,Needs_Attention,1.175342466,3624.779671
12512,66,2,138.03,04-10-2011 14:53,04-10-2011 14:55,99,66,69.015,0,0,3,2,1,Needs_Attention,0.180821918,24.95884932
12513,113,1,612.29,19-08-2011 10:51,19-08-2011 10:51,462,113,612.29,1,0.5,3,1,2,Needs_Attention,0.309589041,189.558274
12514,267,2,1597.76,08-03-2010 12:18,17-03-2011 16:38,840,642,798.88,0,0,2,2,4,Needs_Attention,1.75890411,2810.30663
12515,353,1,383.7,21-12-2010 15:43,21-12-2010 15:43,131,353,383.7,0,0,2,1,2,lost,0.967123288,371.0852055
12516,78,4,2648.62,19-04-2010 14:14,23-09-2011 09:13,1952,599,662.155,0,0,3,3,4,Loyal_customers,1.64109589,4346.639397
12517,28,5,2502.84,02-06-2011 15:13,11-11-2011 14:04,1371,190,500.568,1,0.166666667,4,4,4,Champions,0.520547945,1302.848219
12518,1,5,2056.89,21-08-2011 13:18,09-12-2011 10:13,1318,110,411.378,0,0,5,4,4,Champions,0.301369863,619.8846575
12519,64,2,726.54,20-08-2010 08:21,07-10-2011 09:26,395,477,363.27,1,0.333333333,3,2,3,Needs_Attention,1.306849315,949.4783014
12520,79,5,2634.26,11-03-2011 11:35,21-09-2011 15:23,1439,274,526.852,1,0.166666667,3,4,4,Loyal_customers,0.750684932,1977.499288
12521,143,1,599.68,20-07-2011 10:51,20-07-2011 10:51,309,143,599.68,0,0,3,1,2,Needs_Attention,0.391780822,234.9431233
12522,39,2,192.72,19-10-2011 14:41,31-10-2011 15:30,194,51,96.36,0,0,4,2,1,New_customers,0.139726027,26.928
12523,19,23,4372.15,07-12-2009 13:46,20-11-2011 12:55,2275,732,190.0934783,7,0.233333333,5,5,5,Champions,2.005479452,8768.256986
12524,9,17,11126.11,08-02-2010 14:41,30-11-2011 15:31,7178,669,654.4770588,1,0.055555556,5,5,5,Champions,1.832876712,20392.78792
12525,498,3,973.73,02-03-2010 14:01,29-07-2010 16:08,509,647,324.5766667,5,0.625,1,3,3,At_Risk,1.77260274,1726.036466
12526,1,3,1316.66,06-09-2011 14:19,09-12-2011 12:09,632,94,438.8866667,0,0,5,3,4,Loyal_customers,0.257534247,339.0850411
12527,82,5,735.51,28-06-2010 15:37,19-09-2011 11:55,526,529,147.102,0,0,3,4,3,Loyal_customers,1.449315068,1065.985726
12528,9,6,1933.48,31-01-2011 09:05,30-11-2011 14:40,756,313,322.2466667,2,0.25,5,4,4,Champions,0.857534247,1658.025315
12529,528,1,316.48,29-06-2010 13:10,29-06-2010 13:10,192,528,316.48,1,0.5,1,1,2,lost,1.446575342,457.8121644
12530,60,9,3759.26,07-03-2010 14:37,11-10-2011 12:34,2713,642,417.6955556,3,0.25,3,5,5,Loyal_customers,1.75890411,6612.177863
12531,15,2,1933.2,22-01-2010 14:17,25-11-2011 11:12,1119,686,966.6,1,0.333333333,5,2,4,New_customers,1.879452055,3633.356712
12532,30,1,349.83,09-11-2011 13:47,09-11-2011 13:47,153,30,349.83,0,0,4,1,2,New_customers,0.082191781,28.75315068
12533,628,2,1367.89,01-12-2009 11:50,22-03-2010 10:56,704,739,683.945,4,0.666666667,1,2,4,Needs_Attention,2.024657534,2769.508795
12534,131,1,1089.18,01-08-2011 10:26,01-08-2011 10:26,651,131,1089.18,0,0,3,1,3,Needs_Attention,0.35890411,390.9111781
12535,92,2,716.35,06-06-2011 12:47,09-09-2011 08:48,219,187,358.175,0,0,3,2,3,Needs_Attention,0.512328767,367.0067123
12536,43,3,12601.83,11-10-2011 14:52,27-10-2011 14:20,2803,59,4200.61,2,0.4,4,3,5,Loyal_customers,0.161643836,2037.008137
12537,409,1,732.94,27-10-2010 08:36,27-10-2010 08:36,449,409,732.94,0,0,2,1,3,Needs_Attention,1.120547945,821.294411
12538,29,2,640.45,26-11-2010 13:02,10-11-2011 17:16,336,378,320.225,0,0,4,2,3,New_customers,1.035616438,663.2605479
